,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,album_id,album_name
7EwISik6EOmK1CZhs68nsg,0.467,0.9,2,-4.318,1,0.0378,0.000642,0,0.351,0.495,125.981,audio_features,7EwISik6EOmK1CZhs68nsg,spotify:track:7EwISik6EOmK1CZhs68nsg,https://api.spotify.com/v1/tracks/7EwISik6EOmK1CZhs68nsg,https://api.spotify.com/v1/audio-analysis/7EwISik6EOmK1CZhs68nsg,220840,4,0YfgHaj6rcEzXIIVDj42ev,Ultrasónica
4x0itIAACg5HvDvcGpkEPx,0.819,0.728,7,-4.891,1,0.0436,0.048,0,0.0982,0.5,109.996,audio_features,4x0itIAACg5HvDvcGpkEPx,spotify:track:4x0itIAACg5HvDvcGpkEPx,https://api.spotify.com/v1/tracks/4x0itIAACg5HvDvcGpkEPx,https://api.spotify.com/v1/audio-analysis/4x0itIAACg5HvDvcGpkEPx,122727,4,6HJLrwl1yMsYq2R1z2kbpA,Ella
2BvBHfT0sKFEAd3VZ9c3Dx,0.591,0.261,7,-12.276,1,0.0293,0.79,0.78,0.228,0.0641,140.003,audio_features,2BvBHfT0sKFEAd3VZ9c3Dx,spotify:track:2BvBHfT0sKFEAd3VZ9c3Dx,https://api.spotify.com/v1/tracks/2BvBHfT0sKFEAd3VZ9c3Dx,https://api.spotify.com/v1/audio-analysis/2BvBHfT0sKFEAd3VZ9c3Dx,102857,4,0CPWzr8MrS5werpjIfPOev,Morning Coffee
1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,audio_features,1mea3bSkSGXuIRvnydlB5b,spotify:track:1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b,242373,4,1CEODgTmTwLyabvwd7HBty,Viva La Vida or Death and All His Friends
6EKDPhgCDL2cwRvloAEwSP,0.45,0.324,4,-7.564,1,0.0264,0.829,0,0.089,0.291,151.658,audio_features,6EKDPhgCDL2cwRvloAEwSP,spotify:track:6EKDPhgCDL2cwRvloAEwSP,https://api.spotify.com/v1/tracks/6EKDPhgCDL2cwRvloAEwSP,https://api.spotify.com/v1/audio-analysis/6EKDPhgCDL2cwRvloAEwSP,159724,4,6mzpIm84OXCBxw6Tuhp1OA,Justice (Triple Chucks Deluxe)
14wFBzheHFsZskxKXOOtT8,0.858,0.663,5,-4.331,0,0.0733,0.0372,0,0.0731,0.768,95.991,audio_features,14wFBzheHFsZskxKXOOtT8,spotify:track:14wFBzheHFsZskxKXOOtT8,https://api.spotify.com/v1/tracks/14wFBzheHFsZskxKXOOtT8,https://api.spotify.com/v1/audio-analysis/14wFBzheHFsZskxKXOOtT8,206400,4,5zz1DbdW74JlEmMZgz4Vrm,Le Creo
4qu63nuBpdn0qHUHuObEj1,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,audio_features,4qu63nuBpdn0qHUHuObEj1,spotify:track:4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/audio-analysis/4qu63nuBpdn0qHUHuObEj1,154983,4,66JuK41D3LpkbX3HCTGcQk,Leave Before You Love Me
7JB29gnUowzSGRdIpeVqRQ,0.687,0.735,7,-5.326,1,0.0598,0.183,0,0.125,0.681,87.92,audio_features,7JB29gnUowzSGRdIpeVqRQ,spotify:track:7JB29gnUowzSGRdIpeVqRQ,https://api.spotify.com/v1/tracks/7JB29gnUowzSGRdIpeVqRQ,https://api.spotify.com/v1/audio-analysis/7JB29gnUowzSGRdIpeVqRQ,275589,4,3iggaiQChBAIIfQP8ZH2bR,M.A (Remix)
0OAU6Sht5HOWhkoZ8aLEuU,0.752,0.844,7,-4.651,0,0.0482,0.0662,0,0.0792,0.614,129.967,audio_features,0OAU6Sht5HOWhkoZ8aLEuU,spotify:track:0OAU6Sht5HOWhkoZ8aLEuU,https://api.spotify.com/v1/tracks/0OAU6Sht5HOWhkoZ8aLEuU,https://api.spotify.com/v1/audio-analysis/0OAU6Sht5HOWhkoZ8aLEuU,221078,4,32BfUNOO1so0OEoTRcZA81,Adicción
2g7cvetlDJEMDThz6NqMjV,0.643,0.128,0,-20.043,1,0.0353,0.839,0.791,0.629,0.133,94.977,audio_features,2g7cvetlDJEMDThz6NqMjV,spotify:track:2g7cvetlDJEMDThz6NqMjV,https://api.spotify.com/v1/tracks/2g7cvetlDJEMDThz6NqMjV,https://api.spotify.com/v1/audio-analysis/2g7cvetlDJEMDThz6NqMjV,123986,4,3vMcNacaIH3UEj9gqCY2B7,Rooftop Memories
2tkZRKUSuWbwhQoYeVnqCZ,0.648,0.179,2,-16.498,1,0.0511,0.918,0.939,0.246,0.221,140.028,audio_features,2tkZRKUSuWbwhQoYeVnqCZ,spotify:track:2tkZRKUSuWbwhQoYeVnqCZ,https://api.spotify.com/v1/tracks/2tkZRKUSuWbwhQoYeVnqCZ,https://api.spotify.com/v1/audio-analysis/2tkZRKUSuWbwhQoYeVnqCZ,125571,4,3MtWHA8N5ZZRYJQrTRVC9h,Memories
709CndJJB3GTUhQD0LLFse,0.7,0.967,8,-3.462,0,0.0463,0.073,0,0.333,0.962,136.045,audio_features,709CndJJB3GTUhQD0LLFse,spotify:track:709CndJJB3GTUhQD0LLFse,https://api.spotify.com/v1/tracks/709CndJJB3GTUhQD0LLFse,https://api.spotify.com/v1/audio-analysis/709CndJJB3GTUhQD0LLFse,217427,4,1HR0VmKYncW4JyMwRCSi9N,Grandes Exitos
77Y7qkQ5El3Dq99FCEtFLR,0.54,0.742,0,-8.215,1,0.0379,0.37,0,0.418,0.731,163.928,audio_features,77Y7qkQ5El3Dq99FCEtFLR,spotify:track:77Y7qkQ5El3Dq99FCEtFLR,https://api.spotify.com/v1/tracks/77Y7qkQ5El3Dq99FCEtFLR,https://api.spotify.com/v1/audio-analysis/77Y7qkQ5El3Dq99FCEtFLR,143595,4,3FePFQ6e8eo5VpWJYkrUiI,¡FRESH TAPES!
12HWO1YYMV9HEqQpava5zm,0.728,0.665,10,-6.272,0,0.163,0.27,0,0.0637,0.866,93.979,audio_features,12HWO1YYMV9HEqQpava5zm,spotify:track:12HWO1YYMV9HEqQpava5zm,https://api.spotify.com/v1/tracks/12HWO1YYMV9HEqQpava5zm,https://api.spotify.com/v1/audio-analysis/12HWO1YYMV9HEqQpava5zm,179280,4,66IXFg1AukADK41CP0xANr,Mar De Colores (Versión Extendida)
76NtMPMpA6fuUH4euMYZoD,0.804,0.535,4,-8.603,0,0.143,0.486,0,0.108,0.628,151.957,audio_features,76NtMPMpA6fuUH4euMYZoD,spotify:track:76NtMPMpA6fuUH4euMYZoD,https://api.spotify.com/v1/tracks/76NtMPMpA6fuUH4euMYZoD,https://api.spotify.com/v1/audio-analysis/76NtMPMpA6fuUH4euMYZoD,245191,4,3Bzyfh9ZBRx6lnniuOuMvX,Flakk Daniel's Lp
7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,audio_features,7wMq5n8mYSKlQIGECKUgTX,spotify:track:7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,202533,4,7JOCOjZTcLysDMkZGWlcIj,#3 Deluxe Version
4bb2UdCvi9LynD4rWvE06T,0.531,0.827,7,-3.7,1,0.081,0.0957,1.84e-06,0.074,0.801,183.977,audio_features,4bb2UdCvi9LynD4rWvE06T,spotify:track:4bb2UdCvi9LynD4rWvE06T,https://api.spotify.com/v1/tracks/4bb2UdCvi9LynD4rWvE06T,https://api.spotify.com/v1/audio-analysis/4bb2UdCvi9LynD4rWvE06T,176600,4,6Vsml6sziVKBHxbMEp5wgQ,Lemonade Mouth
64z9ZtP8iCclXrdoxTv3pf,0.471,0.263,8,-17.583,1,0.0363,0.867,0.922,0.107,0.0714,131.965,audio_features,64z9ZtP8iCclXrdoxTv3pf,spotify:track:64z9ZtP8iCclXrdoxTv3pf,https://api.spotify.com/v1/tracks/64z9ZtP8iCclXrdoxTv3pf,https://api.spotify.com/v1/audio-analysis/64z9ZtP8iCclXrdoxTv3pf,149170,4,2goa6ja4CRZNwfyYWimJak,Cascades
0EpdLuptraYGFZ6J7HNSLc,0.784,0.814,6,-2.436,1,0.0464,0.0559,0,0.194,0.728,129.96,audio_features,0EpdLuptraYGFZ6J7HNSLc,spotify:track:0EpdLuptraYGFZ6J7HNSLc,https://api.spotify.com/v1/tracks/0EpdLuptraYGFZ6J7HNSLc,https://api.spotify.com/v1/audio-analysis/0EpdLuptraYGFZ6J7HNSLc,165231,4,1hmsYXkobJ54BGe1sBVv5O,LAS 12
5AiD2doxfh5xlfkNc63WPV,0.526,0.834,6,-6.259,0,0.115,0.00436,0,0.0636,0.429,169.762,audio_features,5AiD2doxfh5xlfkNc63WPV,spotify:track:5AiD2doxfh5xlfkNc63WPV,https://api.spotify.com/v1/tracks/5AiD2doxfh5xlfkNc63WPV,https://api.spotify.com/v1/audio-analysis/5AiD2doxfh5xlfkNc63WPV,212352,4,4Rk63Jz61wwbmQru0PdltI,Descendants 2 (Original TV Movie Soundtrack)
0rDX7SSMih7EkblS1hcPng,0.506,0.87,2,-6.123,1,0.0914,0.187,3.29e-06,0.105,0.598,179.97,audio_features,0rDX7SSMih7EkblS1hcPng,spotify:track:0rDX7SSMih7EkblS1hcPng,https://api.spotify.com/v1/tracks/0rDX7SSMih7EkblS1hcPng,https://api.spotify.com/v1/audio-analysis/0rDX7SSMih7EkblS1hcPng,161501,4,59HyW3yFk1tQsRJYK85BuB,No Me Odio Tanto
2SadtSvyc6NxRYqIYCFCE0,0.7,0.682,11,-5.806,1,0.0411,0.141,1.11e-06,0.105,0.397,124.018,audio_features,2SadtSvyc6NxRYqIYCFCE0,spotify:track:2SadtSvyc6NxRYqIYCFCE0,https://api.spotify.com/v1/tracks/2SadtSvyc6NxRYqIYCFCE0,https://api.spotify.com/v1/audio-analysis/2SadtSvyc6NxRYqIYCFCE0,172258,4,0VvtWz5JCDELdoxasomkif,Del Infierno Al Cielo
3rK30dzS17JWgft6PIvEjt,0.732,0.898,0,-4.054,1,0.0757,0.0617,0,0.363,0.757,100.958,audio_features,3rK30dzS17JWgft6PIvEjt,spotify:track:3rK30dzS17JWgft6PIvEjt,https://api.spotify.com/v1/tracks/3rK30dzS17JWgft6PIvEjt,https://api.spotify.com/v1/audio-analysis/3rK30dzS17JWgft6PIvEjt,223366,4,1drLzJJL0Voqt9GfD4cAly,Gyal You a Party Animal (Remix)
2NVSmZ0UtDUVWeJ1MslRgX,0.615,0.195,8,-14.94,1,0.0428,0.951,0.942,0.105,0.326,136.054,audio_features,2NVSmZ0UtDUVWeJ1MslRgX,spotify:track:2NVSmZ0UtDUVWeJ1MslRgX,https://api.spotify.com/v1/tracks/2NVSmZ0UtDUVWeJ1MslRgX,https://api.spotify.com/v1/audio-analysis/2NVSmZ0UtDUVWeJ1MslRgX,119118,4,3MtWHA8N5ZZRYJQrTRVC9h,Memories
5vesgtppg9TkTSJ6fTHJ7H,0.748,0.814,2,-5.866,1,0.0584,0.48,0,0.0929,0.614,99.979,audio_features,5vesgtppg9TkTSJ6fTHJ7H,spotify:track:5vesgtppg9TkTSJ6fTHJ7H,https://api.spotify.com/v1/tracks/5vesgtppg9TkTSJ6fTHJ7H,https://api.spotify.com/v1/audio-analysis/5vesgtppg9TkTSJ6fTHJ7H,206089,4,7uExX99kCa6vFxzk5ajtBp,Tal y Cual
0TdQLAEJkO86W5QtDykonu,0.468,0.554,0,-8.32,0,0.148,0.73,0,0.214,0.545,97.978,audio_features,0TdQLAEJkO86W5QtDykonu,spotify:track:0TdQLAEJkO86W5QtDykonu,https://api.spotify.com/v1/tracks/0TdQLAEJkO86W5QtDykonu,https://api.spotify.com/v1/audio-analysis/0TdQLAEJkO86W5QtDykonu,204057,4,0tW4fljQxXyjCSKH805fuP,Violetta
4VRP8DfxO2qQOZrnbaj324,0.665,0.843,0,-4.215,1,0.0355,0.285,0,0.422,0.78,93.993,audio_features,4VRP8DfxO2qQOZrnbaj324,spotify:track:4VRP8DfxO2qQOZrnbaj324,https://api.spotify.com/v1/tracks/4VRP8DfxO2qQOZrnbaj324,https://api.spotify.com/v1/audio-analysis/4VRP8DfxO2qQOZrnbaj324,194893,4,2t9TlsYchqDdr0n2TTF6s0,Justo Ahora
2K0PISgs4RV8lashnaWeBK,0.617,0.913,8,-4.092,1,0.0779,0.106,0,0.0864,0.8,172.004,audio_features,2K0PISgs4RV8lashnaWeBK,spotify:track:2K0PISgs4RV8lashnaWeBK,https://api.spotify.com/v1/tracks/2K0PISgs4RV8lashnaWeBK,https://api.spotify.com/v1/audio-analysis/2K0PISgs4RV8lashnaWeBK,180880,4,4lB0GkdPAQTGjQ80yvdBvZ,Luna Gitana
1ng4fAqBrzMQ3u7mXKU70r,0.596,0.034,3,-25.608,1,0.132,0.941,0.93,0.17,0.261,130.19,audio_features,1ng4fAqBrzMQ3u7mXKU70r,spotify:track:1ng4fAqBrzMQ3u7mXKU70r,https://api.spotify.com/v1/tracks/1ng4fAqBrzMQ3u7mXKU70r,https://api.spotify.com/v1/audio-analysis/1ng4fAqBrzMQ3u7mXKU70r,147692,1,01uSyzvxUVCmjCBMBCZdAD,Explore
21X8IL9mP28vq4GyCt1H8A,0.576,0.303,9,-15.184,0,0.0807,0.825,0.618,0.109,0.247,74.062,audio_features,21X8IL9mP28vq4GyCt1H8A,spotify:track:21X8IL9mP28vq4GyCt1H8A,https://api.spotify.com/v1/tracks/21X8IL9mP28vq4GyCt1H8A,https://api.spotify.com/v1/audio-analysis/21X8IL9mP28vq4GyCt1H8A,162162,4,2fWQ5iffc0EpE3zMfFhPf9,Enchantments
06KyNuuMOX1ROXRhj787tj,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,audio_features,06KyNuuMOX1ROXRhj787tj,spotify:track:06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/tracks/06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/audio-analysis/06KyNuuMOX1ROXRhj787tj,217707,4,5Nwsra93UQYJ6xxcjcE10x,Nine Track Mind
6NFyWDv5CjfwuzoCkw47Xf,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,audio_features,6NFyWDv5CjfwuzoCkw47Xf,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,232253,4,6DEjYFkNZh67HP7R9PSZvv,reputation
6bhGPHYdiNKUTSl7ASxJ67,0.384,0.674,2,-5.183,1,0.0588,0.0418,0,0.165,0.648,96.641,audio_features,6bhGPHYdiNKUTSl7ASxJ67,spotify:track:6bhGPHYdiNKUTSl7ASxJ67,https://api.spotify.com/v1/tracks/6bhGPHYdiNKUTSl7ASxJ67,https://api.spotify.com/v1/audio-analysis/6bhGPHYdiNKUTSl7ASxJ67,189200,4,65VDilXxBlKu1DZE94rYsx,ENERO
686IBfvmRBy1eFjYLPIJFr,0.703,0.691,9,-7.294,1,0.0315,0.12,0,0.083,0.906,121.016,audio_features,686IBfvmRBy1eFjYLPIJFr,spotify:track:686IBfvmRBy1eFjYLPIJFr,https://api.spotify.com/v1/tracks/686IBfvmRBy1eFjYLPIJFr,https://api.spotify.com/v1/audio-analysis/686IBfvmRBy1eFjYLPIJFr,203320,4,2IZ35W6krTeqEPjAKHh2hk,Make Your Mark: Ultimate Playlist
0xrCe5CoRAYw8qujyJQu78,0.793,0.798,8,-4.547,1,0.0453,0.21,1.37e-06,0.0576,0.786,109.953,audio_features,0xrCe5CoRAYw8qujyJQu78,spotify:track:0xrCe5CoRAYw8qujyJQu78,https://api.spotify.com/v1/tracks/0xrCe5CoRAYw8qujyJQu78,https://api.spotify.com/v1/audio-analysis/0xrCe5CoRAYw8qujyJQu78,160470,4,1ogAuPoC4aP9bcxENkSV9b,Uno
3EVjpHciZevBP1tmcJ9ak9,0.813,0.641,2,-6.954,1,0.0743,0.51,3.36e-05,0.176,0.417,105.061,audio_features,3EVjpHciZevBP1tmcJ9ak9,spotify:track:3EVjpHciZevBP1tmcJ9ak9,https://api.spotify.com/v1/tracks/3EVjpHciZevBP1tmcJ9ak9,https://api.spotify.com/v1/audio-analysis/3EVjpHciZevBP1tmcJ9ak9,265143,4,1AzEs82wjaYsPuEajCWhr6,Andando
7chjOPhoxbpRYSrO1rvdnu,0.644,0.735,5,-5.499,1,0.0473,0.0961,0,0.116,0.664,175.913,audio_features,7chjOPhoxbpRYSrO1rvdnu,spotify:track:7chjOPhoxbpRYSrO1rvdnu,https://api.spotify.com/v1/tracks/7chjOPhoxbpRYSrO1rvdnu,https://api.spotify.com/v1/audio-analysis/7chjOPhoxbpRYSrO1rvdnu,209954,4,5rz7wJMB8dTNJWQMnK93YI,5 Sentidos
3yNWUi70etEpahZpleiiGT,0.0836,0.291,0,-14.484,1,0.0337,0.253,0.961,0.053,0.0393,84.736,audio_features,3yNWUi70etEpahZpleiiGT,spotify:track:3yNWUi70etEpahZpleiiGT,https://api.spotify.com/v1/tracks/3yNWUi70etEpahZpleiiGT,https://api.spotify.com/v1/audio-analysis/3yNWUi70etEpahZpleiiGT,309630,4,6MlEGdNeVGREWbtQlF4787,"Planet Earth III Suite (From ""Planet Earth III"")"
3tTdatvZPdQLtcKshE0sE5,0.661,0.132,0,-14.201,1,0.0411,0.758,0.76,0.0828,0.14,109.971,audio_features,3tTdatvZPdQLtcKshE0sE5,spotify:track:3tTdatvZPdQLtcKshE0sE5,https://api.spotify.com/v1/tracks/3tTdatvZPdQLtcKshE0sE5,https://api.spotify.com/v1/audio-analysis/3tTdatvZPdQLtcKshE0sE5,122629,4,3x1Jc5RXlxEYdxQIOXfEtV,Floating into Serenity
2Cna21irIvinVSJdGda8Om,0.761,0.482,2,-8.382,1,0.071,0.528,0,0.109,0.577,140.01,audio_features,2Cna21irIvinVSJdGda8Om,spotify:track:2Cna21irIvinVSJdGda8Om,https://api.spotify.com/v1/tracks/2Cna21irIvinVSJdGda8Om,https://api.spotify.com/v1/audio-analysis/2Cna21irIvinVSJdGda8Om,166714,4,4wVrfNzE3Dab7EB1Xn6SHo,Tú crees en mí?
6x4tKaOzfNJpEJHySoiJcs,0.622,0.807,5,-6.752,0,0.408,0.103,0,0.306,0.892,174.06,audio_features,6x4tKaOzfNJpEJHySoiJcs,spotify:track:6x4tKaOzfNJpEJHySoiJcs,https://api.spotify.com/v1/tracks/6x4tKaOzfNJpEJHySoiJcs,https://api.spotify.com/v1/audio-analysis/6x4tKaOzfNJpEJHySoiJcs,220293,4,13BmLGhVCLBn3XzKB8HIai,A Little Bit of Mambo
3zWfan3WGq3lRJzGwuSnUl,0.688,0.353,5,-18.953,1,0.117,0.526,0.00174,0.349,0.269,132.055,audio_features,3zWfan3WGq3lRJzGwuSnUl,spotify:track:3zWfan3WGq3lRJzGwuSnUl,https://api.spotify.com/v1/tracks/3zWfan3WGq3lRJzGwuSnUl,https://api.spotify.com/v1/audio-analysis/3zWfan3WGq3lRJzGwuSnUl,165455,4,4OzPEUKxL6wdthTcwmC3YE,247
2AogRMqARWyUP7VQ3gmSoY,0.628,0.834,6,-6.341,0,0.0497,0.403,0,0.051,0.626,97.865,audio_features,2AogRMqARWyUP7VQ3gmSoY,spotify:track:2AogRMqARWyUP7VQ3gmSoY,https://api.spotify.com/v1/tracks/2AogRMqARWyUP7VQ3gmSoY,https://api.spotify.com/v1/audio-analysis/2AogRMqARWyUP7VQ3gmSoY,215507,4,7uBPEVNhaQa2G68Rd6mToK,I Need You
